Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
2019,4,Capital Federal,307,669.5420000000001,120.84200000000001,206.809,21.057000000000002,147.18099999999998,746.83,0
2019,4,Catamarca,63,271.791,824.489,804,891,53.573,4.698,3.098
2019,4,Chaco,83,1382.644,30.901999999999997,13.516,2.894,20.957,516.819,6.988
2019,4,Chubut,158,469.075,903.718,1.24,933,201.756,613,4.121
2019,4,Córdoba,142,239.81099999999998,135.30399999999997,114.11099999999999,19.943,118.232,239.882,10.35
2019,4,Corrientes,72,1705.2200000000003,27.366999999999997,9.981,6.157,329.311,651.999,4.995
2019,4,Entre Ríos,47,79.79599999999999,42.962,18.976,8.407,217.338,412.695,14.178
2019,4,Formosa,18.11,44.507000000000005,1955.837,386.381,193.077,8.317,4.502,243
2019,4,Jujuy,55,565.08,866.923,102,7.3,10.631,4.531000000000001,14.122
2019,4,La Pampa,293,73.439,541.4110000000001,1287,316.308,13.893,5.26,1.566
2019,4,La Rioja,21,37.13,531.236,22,716,5.045,80,0
2019,4,Mendoza,746,1142.966,112.14,485.681,11.172,99.86800000000001,77.908,6.901
2019,4,Misiones,71,998.2149999999999,27.304999999999996,15.626000000000001,3.486,26.834,140.36599999999999,11.508
2019,4,Neuquén,218,278.346,518.845,189.881,803,185.258,27.256,0
2019,4,Río Negro,114,1221.4279999999999,30.535999999999998,125.849,1.267,285.514,27.465,17.019
2019,4,Salta,149,86.304,89.295,14.169999999999998,3.808,83.64,19.535,7.12
2019,4,San Juan,48,1157.8639999999998,59.234,40,664,112.483,80,1.246
2019,4,San Luis,105,2039.485,525,61.21,386,161.007,0,36.287
2019,4,Santa Cruz,67,637.343,161.065,7,5.414,319.031,7,350
2019,4,Santa Fe,698,630.669,252.388,70.998,19.145,190.66400000000002,638.938,27.472
2019,4,Santiago Del Estero,133,1036.1760000000002,892.8660000000001,105,909.731,907.457,13.184,5.017
2019,4,Tierra Del Fuego,11,984.526,271.578,139,105,20.035,1.962,7.789
2019,4,Tucumán,55,462.13,212.732,6.405,4.002,59.01,29.514,0
2020,1,Buenos Aires,663.5889999999999,1157.772,386.838,1152.8660000000002,61.004,728.9279999999999,1656.4679999999998,28.935
2020,1,Capital Federal,264,645.33,99.65499999999999,86.904,21.136,139.21699999999998,698.547,0
2020,1,Catamarca,63,270.793,694.8720000000001,408,782,53.497,6.796,2.151
2020,1,Chaco,419,1535.958,29.851,10.416,2.634,835.16,522.733,6.917
2020,1,Chubut,158,469.359,903.859,1.24,935,201.768,613,4.5
2020,1,Córdoba,142,230.613,121.80099999999999,67.739,18.717,120.18799999999999,315.976,9.802
2020,1,Corrientes,72,1704.106,1018.6859999999999,7.351000000000001,6.222,535.867,655.373,4.78
2020,1,Entre Ríos,130,68.22800000000001,41.12500000000001,11.988,8.133,890.288,421.63,13.762
2020,1,Formosa,18.11,43.925,1644.924,964,192.965,8.498000000000001,5.542,100
2020,1,Jujuy,55,834.347,732.986,166,7.146,9.979,6.315,16.545
2020,1,La Pampa,293,70.34100000000001,820.211,1342,315.897,14.192,6.029999999999999,1.618
2020,1,La Rioja,21,36.569,494.15,22,641,5.158,120,0
2020,1,Mendoza,58,490.39300000000003,17.489,486.386,10.696,1398.897,77.978,0
2020,1,Misiones,71,951.885,26.433,11.581,3.342,27.265,145.426,10.885
2020,1,Neuquén,218,281.45,536.593,183.229,807,186.076,35.321,0
2020,1,Río Negro,114,1219.3100000000002,29.835,116.113,1.158,285.647,32.784,17.719
2020,1,Salta,129,1153.218,80.928,765.867,3.714,104.673,27.702,6.441
2020,1,San Juan,48,1174.168,59.234,40,697,112.483,80,4.779
2020,1,San Luis,105,1728.217,525,63.255,386,161.007,0,36.075
2020,1,Santa Cruz,67,22.044,183.99,529,5.414,319.678,108,0
2020,1,Santa Fe,696,647.0910000000001,243.42100000000002,48.455999999999996,18.011,196.826,675.333,17.656
2020,1,Santiago Del Estero,133,1035.307,775.964,135,909.646,908.032,13.517,4.501
2020,1,Tierra Del Fuego,11,973.9209999999999,276.55899999999997,196,104,20.008999999999997,518,7.046
2020,1,Tucumán,52,228.722,214.91199999999998,1.73,3.747,366.067,39.947,0
2020,2,Buenos Aires,662.9159999999999,1516.085,371.993,1136.081,59.342,733.843,,21.233
2020,2,Capital Federal,264,625.521,89.848,81.165,20.785,131.548,744.968,687
2020,2,Catamarca,63,321.757,663.588,426,730,34.664,10.217,3.176
2020,2,Chaco,419,2160.529,992.0799999999999,12.082,3.497,836.324,25.044,6.969
2020,2,Chubut,158,618.2080000000001,11.536,233.241,929,210.999,613,3.999
2020,2,Córdoba,168,232.84,170.449,66.221,17.541,125.932,334.533,8.971
2020,2,Corrientes,72,994.863,893.975,7.898,6.938,537.33,16.463,5.02
2020,2,Entre Ríos,130,880.993,44.088,12.856,7.625,893.796,34.828,14.569
2020,2,Formosa,391,21.804000000000002,1515.488,961,1.881,9.107,5.792,1.313
2020,2,Jujuy,55,756.8820000000001,691.164,209,7.114,10.519,8.029,16.557
2020,2,La Pampa,293,68.82499999999999,66.737,313.345,315.89,14.524000000000001,3.377,1.123
2020,2,La Rioja,21,37.674,540.15,73,701,5.661,1.976,2
2020,2,Mendoza,58,154.615,35.274,825.435,10.655,1017.433,73.145,2.45
2020,2,Misiones,71,484.592,26.445,12.305000000000001,4.35,536.206,50.966,8.646
2020,2,Neuquén,218,324.431,556.075,183.126,803,299.809,40.326,0
2020,2,Río Negro,114,1221.002,1002.5020000000001,114.162,1.129,272.066,33.467,17.057
2020,2,Salta,129,1558.614,70.935,715.033,7.176,105.422,31.07,6.531
2020,2,San Juan,48,751.9159999999999,65.84700000000001,40,697,917,80,4.43
2020,2,San Luis,105,2032.03,8.927,65.886,386,160.428,3,35.992
2020,2,Santa Cruz,66,82.46199999999999,185.362,546,5.415,170.999,108,493
2020,2,Santa Fe,568,588.613,235.43599999999998,57.244,17.111,875.095,302.01599999999996,20.193
2020,2,Santiago Del Estero,133,1031.558,730.452,247,909.869,935.83,31.89,4.516
2020,2,Tierra Del Fuego,11,914.33,287.749,391,102,5.186,796,7.446
2020,2,Tucumán,52,276.385,375.842,2.246,3.509,370.221,45.288,2.635
2020,3,Buenos Aires,662.9159999999999,1500.7509999999997,358.633,1141.334,59.17099999999999,727.217,,19.853
2020,3,Capital Federal,264,613.658,78.743,79.033,20.404,123.045,876.976,247
2020,3,Catamarca,63,322.292,613.592,562,669,35.741,11.736,2.154
2020,3,Chaco,419,614.458,857.715,13.751000000000001,2.625,856.803,27.729,7.194
2020,3,Chubut,158,1216.5690000000002,15.214,234.586,968,210.92499999999998,999,3.942
2020,3,Córdoba,168,238.675,174.146,66.828,16.954,124.83300000000001,477.009,11.728
2020,3,Corrientes,72,975.8929999999999,766.566,8.615,6.876,537.8,17.788,5.02
2020,3,Entre Ríos,130,902.051,43.794,14.376999999999999,6.668,894.634,38.675,15.759
2020,3,Formosa,391,21.616,1366.764,991,1.698,9.43,6.058,1.737
2020,3,Jujuy,55,758.548,640.602,293,7.031,10.566,12.666,3.065
2020,3,La Pampa,293,64.312,121.461,385.805,315.88,14.812999999999999,153.333,4.029
2020,3,La Rioja,21,37.4,533.131,124,705,5.955,2.224,2
2020,3,Mendoza,58,153.765,42.43299999999999,994.466,10.656,1557.576,99.193,45
2020,3,Misiones,71,483.77000000000004,938.029,13.663,4.31,536.702,51.464,8.779
2020,3,Neuquén,218,323.71299999999997,575.405,188.274,813,300.267,40.663,803
2020,3,Río Negro,114,351.03200000000004,888.2139999999999,112.373,1.137,269.503,33.656,19.093
2020,3,Salta,129,1391.841,60.945,719.216,7.086,105.695,33.452,14.996
2020,3,San Juan,48,1043.0529999999999,67.468,41,4.684,711,81,4.15
2020,3,San Luis,105,2048.758,9.658999999999999,66.316,402,160.194,3,36.917
2020,3,Santa Cruz,66,73.421,198.538,629,5.415,138.88,109,833
2020,3,Santa Fe,568,588.894,144.043,58.80499999999999,16.309,834.7449999999999,304.274,27.001
2020,3,Santiago Del Estero,133,1184.1719999999998,663.9979999999999,292,1871,1005.469,32.313,4.801
2020,3,Tierra Del Fuego,11,893.125,290.43899999999996,481,97,5.414,930,6.992
2020,3,Tucumán,52,480.977,488.66999999999996,12.237,3.594,759.904,52.231,2.637
2020,4,Buenos Aires,153.822,1539.376,806.578,1158.676,58.229,601.883,,9.016
2020,4,Capital Federal,135,561.854,70.19800000000001,81.274,20.178,109.092,754.628,268
2020,4,Catamarca,71,297.918,580.8660000000001,591,635,103.645,12.502,2.309
2020,4,Chaco,412,1388.097,741.087,15.700999999999999,2.319,1156.344,28.481,7.965
2020,4,Chubut,106,1179.289,36.022,234.586,884,115.73,1002,4.402
2020,4,Córdoba,119,1147.0839999999998,197.106,98.99199999999999,16.318,149.248,505.368,13.568
2020,4,Corrientes,67,28.197,654.058,9.383,4.23,26.320999999999998,18.193,4.985
2020,4,Entre Ríos,105,61.888999999999996,43.751999999999995,16.6,6.681,53.556,41.279,14.654
2020,4,Formosa,56,22.836,1435.751,1197,704,9.604,9.367,1.68
2020,4,Jujuy,49,22.511,611.363,446,1.443,25.368000000000002,15.929,2.811
2020,4,La Pampa,298,67.78399999999999,115.453,367.031,315.641,15.117,153.994,2.52
2020,4,La Rioja,18,37.217999999999996,533.104,181,688,6.06,2.392,0
2020,4,Mendoza,28,158.504,40.396,942.448,10.825,1569.612,78.272,2.57
2020,4,Misiones,51,532.0600000000001,816.654,51.772999999999996,3.956,534.569,51.802,7.001
2020,4,Neuquén,116,412.84700000000004,168.62800000000001,186.32,557,302.18399999999997,40.774,5.72
2020,4,Río Negro,125,71.628,14.129999999999999,174.346,1.141,301.855,54.157,20.146
2020,4,Salta,109,40.084,50.153000000000006,682.616,3.871,115.782,34.472,6.319
2020,4,San Juan,25,989.12,128.003,332,2.459,740,159,4.588
2020,4,San Luis,58,1398.183,2.688,64.239,451,153.34,3,36.918
2020,4,Santa Cruz,47,91.728,931.708,1033,5.375,127.259,571,758
2020,4,Santa Fe,518,590.33,227.113,65.153,15.208,856.14,569.652,23.602
2020,4,Santiago Del Estero,123,1187.405,632.038,411,1867,1005.641,22.669,3.932
2020,4,Tierra Del Fuego,17,890.913,285.21500000000003,488,98,58.067,912,6.69
2020,4,Tucumán,29,735.246,419.767,38.071,3.251,708.679,59.624,2.68
2021,1,Buenos Aires,153.822,1539.041,756.1539999999999,1167.149,57.057,600.16,,10.867
2021,1,Capital Federal,135,560.433,66.447,84.26,20.052,107.722,748.8990000000001,126
