,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
359,2019,2,Tucumán,166,32.0,166
360,2019,1,Buenos Aires,4,10.0,4
361,2019,1,Capital Federal,1,3.0,1
362,2019,1,Catamarca,34,9.0,34
363,2019,1,Chaco,104,13.0,104
364,2019,1,Chubut,78,2.0,80
365,2019,1,Córdoba,744,105.0,744
366,2019,1,Corrientes,102,10.0,102
367,2019,1,Entre Ríos,232,44.0,232
368,2019,1,Formosa,45,0.0,45
369,2019,1,Jujuy,90,1.0,90
370,2019,1,La Pampa,89,268.0,89
371,2019,1,La Rioja,52,18.0,52
372,2019,1,Mendoza,205,1.0,206
373,2019,1,Misiones,123,0.0,123
374,2019,1,Neuquén,112,2.0,114
375,2019,1,Río Negro,120,915.0,121
376,2019,1,Salta,136,1.0,136
377,2019,1,San Juan,62,564.0,62
378,2019,1,San Luis,96,291.0,96
379,2019,1,Santa Cruz,25,325.0,25
380,2019,1,Santa Fe,737,227.0,737
381,2019,1,Santiago Del Estero,90,2.0,90
382,2019,1,Tierra Del Fuego,46,544.0,46
383,2019,1,Tucumán,172,32.0,172
384,2018,4,Buenos Aires,4,10.0,4
385,2018,4,Capital Federal,1,3.0,1
386,2018,4,Catamarca,34,9.0,34
387,2018,4,Chaco,103,13.0,103
388,2018,4,Chubut,77,2.0,79
389,2018,4,Córdoba,737,105.0,737
390,2018,4,Corrientes,101,10.0,101
391,2018,4,Entre Ríos,222,44.0,222
392,2018,4,Formosa,45,0.0,45
393,2018,4,Jujuy,90,1.0,90
394,2018,4,La Pampa,85,268.0,86
395,2018,4,La Rioja,52,18.0,52
396,2018,4,Mendoza,205,1.0,206
397,2018,4,Misiones,116,0.0,116
398,2018,4,Neuquén,112,2.0,114
399,2018,4,Río Negro,116,915.0,117
400,2018,4,Salta,135,1.0,135
401,2018,4,San Juan,62,564.0,62
402,2018,4,San Luis,96,291.0,96
403,2018,4,Santa Cruz,24,325.0,25
404,2018,4,Santa Fe,720,229.0,720
405,2018,4,Santiago Del Estero,89,2.0,89
406,2018,4,Tierra Del Fuego,46,544.0,46
407,2018,4,Tucumán,172,32.0,172
408,2018,3,Buenos Aires,4,11.0,4
409,2018,3,Capital Federal,1,7.0,1
410,2018,3,Catamarca,34,11.0,34
411,2018,3,Chaco,102,12.0,102
412,2018,3,Chubut,101,2.0,104
413,2018,3,Córdoba,726,94.0,726
414,2018,3,Corrientes,99,11.0,99
415,2018,3,Entre Ríos,205,48.0,205
416,2018,3,Formosa,45,0.0,45
417,2018,3,Jujuy,45,1.0,45
418,2018,3,La Pampa,83,244.0,83
419,2018,3,La Rioja,52,17.0,52
420,2018,3,Mendoza,206,1.0,207
421,2018,3,Misiones,108,0.0,108
422,2018,3,Neuquén,115,2.0,117
423,2018,3,Río Negro,112,1.0,113
424,2018,3,Salta,133,1.0,133
425,2018,3,San Juan,64,658.0,64
426,2018,3,San Luis,74,300.0,74
427,2018,3,Santa Cruz,34,434.0,34
428,2018,3,Santa Fe,695,217.0,695
429,2018,3,Santiago Del Estero,86,2.0,86
430,2018,3,Tierra Del Fuego,45,508.0,46
431,2018,3,Tucumán,171,31.0,171
432,2018,2,Buenos Aires,3,11.0,4
433,2018,2,Capital Federal,1,7.0,1
434,2018,2,Catamarca,34,11.0,34
435,2018,2,Chaco,99,12.0,99
436,2018,2,Chubut,98,2.0,101
437,2018,2,Córdoba,713,94.0,713
438,2018,2,Corrientes,98,11.0,98
439,2018,2,Entre Ríos,200,48.0,200
440,2018,2,Formosa,45,,45
441,2018,2,Jujuy,45,1.0,45
442,2018,2,La Pampa,82,244.0,82
443,2018,2,La Rioja,52,17.0,52
444,2018,2,Mendoza,199,1.0,201
445,2018,2,Misiones,106,,106
446,2018,2,Neuquén,114,2.0,116
447,2018,2,Río Negro,111,1.0,112
448,2018,2,Salta,134,1.0,134
449,2018,2,San Juan,63,658.0,64
450,2018,2,San Luis,21,300.0,21
451,2018,2,Santa Cruz,34,435.0,34
452,2018,2,Santa Fe,684,309.0,685
453,2018,2,Santiago Del Estero,84,2.0,84
454,2018,2,Tierra Del Fuego,44,508.0,45
455,2018,2,Tucumán,170,31.0,170
456,2018,1,Buenos Aires,3,11.0,3
457,2018,1,Capital Federal,1,7.0,1
458,2018,1,Catamarca,34,11.0,34
459,2018,1,Chaco,97,12.0,97
460,2018,1,Chubut,96,2.0,98
