,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
199,2019.0,4.0,Corrientes,72.0,1705.2200000000005,27.367,9.981,6.157,329.311,651.999,4.995
200,2019.0,4.0,Entre Ríos,47.0,79.79599999999999,42.962,18.976,8.407,217.338,412.695,14.178
201,2019.0,4.0,Formosa,18.11,44.507000000000005,1955.837,386.381,193.077,8.317,4.502,243.0
202,2019.0,4.0,Jujuy,55.0,565.08,866.923,102.0,7.3,10.631,4.531000000000001,14.122
203,2019.0,4.0,La Pampa,293.0,73.439,541.4110000000001,1287.0,316.308,13.893,5.26,1.566
204,2019.0,4.0,La Rioja,21.0,37.13,531.236,22.0,716.0,5.045,80.0,0.0
205,2019.0,4.0,Mendoza,746.0,1142.966,112.14,485.681,11.172,99.868,77.908,6.901
206,2019.0,4.0,Misiones,71.0,998.215,27.305,15.626,3.486,26.834,140.366,11.508
207,2019.0,4.0,Neuquén,218.0,278.346,518.845,189.881,803.0,185.258,27.256,0.0
208,2019.0,4.0,Río Negro,114.0,1221.428,30.536,125.849,1.267,285.514,27.465,17.019
209,2019.0,4.0,Salta,149.0,86.304,89.295,14.169999999999998,3.808,83.64,19.535,7.12
210,2019.0,4.0,San Juan,48.0,1157.8639999999998,59.234,40.0,664.0,112.483,80.0,1.246
211,2019.0,4.0,San Luis,105.0,2039.485,525.0,61.21,386.0,161.007,0.0,36.287
212,2019.0,4.0,Santa Cruz,67.0,637.343,161.065,7.0,5.414,319.031,7.0,350.0
213,2019.0,4.0,Santa Fe,698.0,630.669,252.388,70.998,19.145,190.664,638.938,27.472
214,2019.0,4.0,Santiago Del Estero,133.0,1036.1760000000002,892.8660000000001,105.0,909.731,907.457,13.184,5.017
215,2019.0,4.0,Tierra Del Fuego,11.0,984.526,271.578,139.0,105.0,20.035,1.962,7.789
216,2019.0,4.0,Tucumán,55.0,462.13,212.732,6.405,4.002,59.01,29.514,0.0
217,2020.0,1.0,Buenos Aires,663.5889999999999,1157.772,386.838,1152.8660000000002,61.004,728.9279999999999,1656.4679999999998,28.935
218,2020.0,1.0,Capital Federal,264.0,645.33,99.655,86.904,21.136,139.21699999999998,698.547,0.0
219,2020.0,1.0,Catamarca,63.0,270.793,694.8720000000001,408.0,782.0,53.497,6.796,2.151
