,Año,Trimestre,Provincia,Velocidad,Conexiones
345,2021.0,2.0,Jujuy,Hasta 512 kbps,48.0
346,2021.0,2.0,La Pampa,Hasta 512 kbps,298.0
347,2021.0,2.0,La Rioja,Hasta 512 kbps,18.0
348,2021.0,2.0,Mendoza,Hasta 512 kbps,36.0
349,2021.0,2.0,Misiones,Hasta 512 kbps,51.0
350,2021.0,2.0,Neuquén,Hasta 512 kbps,112.0
351,2021.0,2.0,Río Negro,Hasta 512 kbps,125.0
352,2021.0,2.0,Salta,Hasta 512 kbps,101.0
353,2021.0,2.0,San Juan,Hasta 512 kbps,18.0
354,2021.0,2.0,San Luis,Hasta 512 kbps,60.0
355,2021.0,2.0,Santa Cruz,Hasta 512 kbps,50.0
356,2021.0,2.0,Santa Fe,Hasta 512 kbps,467.0
357,2021.0,2.0,Santiago Del Estero,Hasta 512 kbps,123.0
358,2021.0,2.0,Tierra Del Fuego,Hasta 512 kbps,17.0
359,2021.0,2.0,Tucumán,Hasta 512 kbps,32.0
360,2021.0,3.0,Buenos Aires,Hasta 512 kbps,223.007
361,2021.0,3.0,Capital Federal,Hasta 512 kbps,295.0
362,2021.0,3.0,Catamarca,Hasta 512 kbps,71.0
363,2021.0,3.0,Chaco,Hasta 512 kbps,412.0
364,2021.0,3.0,Chubut,Hasta 512 kbps,104.0
365,2021.0,3.0,Córdoba,Hasta 512 kbps,99.0
366,2021.0,3.0,Corrientes,Hasta 512 kbps,67.0
367,2021.0,3.0,Entre Ríos,Hasta 512 kbps,107.0
368,2021.0,3.0,Formosa,Hasta 512 kbps,381.0
369,2021.0,3.0,Jujuy,Hasta 512 kbps,48.0
370,2021.0,3.0,La Pampa,Hasta 512 kbps,298.0
371,2021.0,3.0,La Rioja,Hasta 512 kbps,18.0
372,2021.0,3.0,Mendoza,Hasta 512 kbps,36.0
373,2021.0,3.0,Misiones,Hasta 512 kbps,51.0
374,2021.0,3.0,Neuquén,Hasta 512 kbps,112.0
375,2021.0,3.0,Río Negro,Hasta 512 kbps,125.0
376,2021.0,3.0,Salta,Hasta 512 kbps,101.0
377,2021.0,3.0,San Juan,Hasta 512 kbps,18.0
378,2021.0,3.0,San Luis,Hasta 512 kbps,60.0
379,2021.0,3.0,Santa Cruz,Hasta 512 kbps,50.0
380,2021.0,3.0,Santa Fe,Hasta 512 kbps,467.0
381,2021.0,3.0,Santiago Del Estero,Hasta 512 kbps,123.0
382,2021.0,3.0,Tierra Del Fuego,Hasta 512 kbps,17.0
383,2021.0,3.0,Tucumán,Hasta 512 kbps,32.0
384,2021.0,4.0,Buenos Aires,Hasta 512 kbps,223.635
385,2021.0,4.0,Capital Federal,Hasta 512 kbps,563.0
386,2021.0,4.0,Catamarca,Hasta 512 kbps,71.0
387,2021.0,4.0,Chaco,Hasta 512 kbps,572.0
388,2021.0,4.0,Chubut,Hasta 512 kbps,126.0
389,2021.0,4.0,Córdoba,Hasta 512 kbps,100.0
390,2021.0,4.0,Corrientes,Hasta 512 kbps,67.0
391,2021.0,4.0,Entre Ríos,Hasta 512 kbps,107.0
392,2021.0,4.0,Formosa,Hasta 512 kbps,84.0
393,2021.0,4.0,Jujuy,Hasta 512 kbps,58.0
394,2021.0,4.0,La Pampa,Hasta 512 kbps,301.0
395,2021.0,4.0,La Rioja,Hasta 512 kbps,18.0
396,2021.0,4.0,Mendoza,Hasta 512 kbps,156.0
397,2021.0,4.0,Misiones,Hasta 512 kbps,51.0
398,2021.0,4.0,Neuquén,Hasta 512 kbps,140.0
399,2021.0,4.0,Río Negro,Hasta 512 kbps,156.0
400,2021.0,4.0,Salta,Hasta 512 kbps,114.0
401,2021.0,4.0,San Juan,Hasta 512 kbps,44.0
402,2021.0,4.0,San Luis,Hasta 512 kbps,62.0
403,2021.0,4.0,Santa Cruz,Hasta 512 kbps,52.0
404,2021.0,4.0,Santa Fe,Hasta 512 kbps,467.0
405,2021.0,4.0,Santiago Del Estero,Hasta 512 kbps,178.0
406,2021.0,4.0,Tierra Del Fuego,Hasta 512 kbps,26.0
407,2021.0,4.0,Tucumán,Hasta 512 kbps,39.0
408,2022.0,1.0,Buenos Aires,Hasta 512 kbps,242.38
409,2022.0,1.0,Capital Federal,Hasta 512 kbps,527.0
410,2022.0,1.0,Catamarca,Hasta 512 kbps,71.0
411,2022.0,1.0,Chaco,Hasta 512 kbps,572.0
412,2022.0,1.0,Chubut,Hasta 512 kbps,113.0
413,2022.0,1.0,Córdoba,Hasta 512 kbps,100.0
414,2022.0,1.0,Corrientes,Hasta 512 kbps,67.0
415,2022.0,1.0,Entre Ríos,Hasta 512 kbps,107.0
416,2022.0,1.0,Formosa,Hasta 512 kbps,97.0
417,2022.0,1.0,Jujuy,Hasta 512 kbps,58.0
418,2022.0,1.0,La Pampa,Hasta 512 kbps,301.0
419,2022.0,1.0,La Rioja,Hasta 512 kbps,18.0
420,2022.0,1.0,Mendoza,Hasta 512 kbps,114.0
421,2022.0,1.0,Misiones,Hasta 512 kbps,51.0
422,2022.0,1.0,Neuquén,Hasta 512 kbps,137.0
423,2022.0,1.0,Río Negro,Hasta 512 kbps,116.0
424,2022.0,1.0,Salta,Hasta 512 kbps,114.0
425,2022.0,1.0,San Juan,Hasta 512 kbps,26.0
426,2022.0,1.0,San Luis,Hasta 512 kbps,61.0
427,2022.0,1.0,Santa Cruz,Hasta 512 kbps,51.0
