,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
210,2020,4,San Luis,ADSL,8000,Oeste,1.48,5.92
211,2020,4,Santa Cruz,ADSL,12000,Sur,3.6,14.4
212,2020,4,Santa Fe,ADSL,287000,Centro,8.44,33.76
213,2020,4,Santiago Del Estero,ADSL,27000,Noreste,2.56,10.24
214,2020,4,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
215,2020,4,Tucumán,ADSL,149000,Noroeste,6.06,24.24
216,2020,3,Buenos Aires,ADSL,654000,Centro,3.72,14.88
217,2020,3,Capital Federal,ADSL,170000,Centro,5.45,21.8
218,2020,3,Catamarca,ADSL,27000,Noroeste,6.82,27.28
219,2020,3,Chaco,ADSL,46000,Noreste,4.04,16.16
220,2020,3,Chubut,ADSL,46000,Sur,7.63,30.52
221,2020,3,Córdoba,ADSL,276000,Centro,8.34,33.36
222,2020,3,Corrientes,ADSL,51000,Noreste,4.26,17.04
223,2020,3,Entre Ríos,ADSL,88000,Centro,6.17,24.68
224,2020,3,Formosa,ADSL,22000,Noreste,4.15,16.6
225,2020,3,Jujuy,ADSL,33000,Noroeste,4.14,16.56
226,2020,3,La Pampa,ADSL,9000,Oeste,2.46,9.84
227,2020,3,La Rioja,ADSL,17000,Oeste,5.4,21.6
228,2020,3,Mendoza,ADSL,92000,Oeste,5.28,21.12
229,2020,3,Misiones,ADSL,50000,Noreste,3.91,15.64
230,2020,3,Neuquén,ADSL,30000,Sur,4.13,16.52
231,2020,3,Río Negro,ADSL,50000,Sur,6.56,26.24
232,2020,3,Salta,ADSL,58000,Noroeste,4.03,16.12
233,2020,3,San Juan,ADSL,40000,Oeste,4.89,19.56
234,2020,3,San Luis,ADSL,8000,Oeste,1.48,5.92
235,2020,3,Santa Cruz,ADSL,13000,Sur,3.9,15.6
236,2020,3,Santa Fe,ADSL,295000,Centro,8.68,34.72
237,2020,3,Santiago Del Estero,ADSL,26000,Noreste,2.47,9.88
